coszen,rho,rds,dust,algae,BBA
0.3,500,500,20000000,1000000,0.3963950801
0.3,500,500,20000000,15000000,0.264427701
0.3,500,500,20000000,20000000,0.2547001214
0.3,500,700,0,0,0.6854399649
0.3,500,700,0,10000,0.6819670164
0.3,500,700,0,50000,0.6689057408
0.3,500,700,0,100000,0.654178728
0.3,500,700,0,1000000,0.5151640055
0.3,500,700,0,15000000,0.3098794378
0.3,500,700,0,20000000,0.2992228373
0.3,500,700,10000,0,0.6852143443
0.3,500,700,10000,10000,0.6817441625
0.3,500,700,10000,50000,0.6686928789
0.3,500,700,10000,100000,0.6539764155
0.3,500,700,10000,1000000,0.5150373248
0.3,500,700,10000,15000000,0.3098209388
0.3,500,700,10000,20000000,0.2991660483
0.3,500,700,50000,0,0.6843136447
0.3,500,700,50000,10000,0.6808544942
0.3,500,700,50000,50000,0.6678430559
0.3,500,700,50000,100000,0.6531686705
0.3,500,700,50000,1000000,0.5145314532
0.3,500,700,50000,15000000,0.3095873687
0.3,500,700,50000,20000000,0.2989393081
0.3,500,700,100000,0,0.6831917649
0.3,500,700,100000,10000,0.6797463245
0.3,500,700,100000,50000,0.6667844195
0.3,500,700,100000,100000,0.6521623633
0.3,500,700,100000,1000000,0.513901022
0.3,500,700,100000,15000000,0.3092963616
0.3,500,700,100000,20000000,0.298656816
0.3,500,700,1000000,0,0.6637287637
0.3,500,700,1000000,10000,0.6605159121
0.3,500,700,1000000,50000,0.6483964663
0.3,500,700,1000000,100000,0.6346679244
0.3,500,700,1000000,1000000,0.5029049191
0.3,500,700,1000000,15000000,0.3042340087
0.3,500,700,1000000,20000000,0.2937435818
0.3,500,700,15000000,0,0.4746474253
0.3,500,700,15000000,10000,0.4732460706
0.3,500,700,15000000,50000,0.4678387377
0.3,500,700,15000000,100000,0.4614889647
0.3,500,700,15000000,1000000,0.3905310119
0.3,500,700,15000000,15000000,0.2543336691
0.3,500,700,15000000,20000000,0.2454479859
0.3,500,700,20000000,0,0.4368683375
0.3,500,700,20000000,10000,0.4357484728
0.3,500,700,20000000,50000,0.4314102695
0.3,500,700,20000000,100000,0.4262827167
0.3,500,700,20000000,1000000,0.3669722657
0.3,500,700,20000000,15000000,0.2445061882
0.3,500,700,20000000,20000000,0.2359825862
0.3,500,1000,0,0,0.6438542616
0.3,500,1000,0,10000,0.6404188644
0.3,500,1000,0,50000,0.6274802145
0.3,500,1000,0,100000,0.6128729147
0.3,500,1000,0,1000000,0.4761217925
0.3,500,1000,0,15000000,0.282754378
0.3,500,1000,0,20000000,0.2734918519
0.3,500,1000,10000,0,0.6436377415
0.3,500,1000,10000,10000,0.6402050074
0.3,500,1000,10000,50000,0.6272760391
0.3,500,1000,10000,100000,0.6126790453
0.3,500,1000,10000,1000000,0.4760022412
0.3,500,1000,10000,15000000,0.28270211
0.3,500,1000,10000,20000000,0.273441172
0.3,500,1000,50000,0,0.6427733768
0.3,500,1000,50000,10000,0.6393512627
0.3,500,1000,50000,50000,0.6264609076
0.3,500,1000,50000,100000,0.6119050239
0.3,500,1000,50000,1000000,0.475524871
0.3,500,1000,50000,15000000,0.2824934501
0.3,500,1000,50000,20000000,0.2732388532
0.3,500,1000,100000,0,0.6416967662
0.3,500,1000,100000,10000,0.6382878545
0.3,500,1000,100000,50000,0.6254455118
0.3,500,1000,100000,100000,0.6109407623
0.3,500,1000,100000,1000000,0.4749300311
0.3,500,1000,100000,15000000,0.2822335489
0.3,500,1000,100000,20000000,0.2729868536
0.3,500,1000,1000000,0,0.6230210715
0.3,500,1000,1000000,10000,0.6198367591
0.3,500,1000,1000000,50000,0.6078129088
0.3,500,1000,1000000,100000,0.5941828185
0.3,500,1000,1000000,1000000,0.4645674714
0.3,500,1000,1000000,15000000,0.2777245619
0.3,500,1000,1000000,20000000,0.2686155271
0.3,500,1000,15000000,0,0.4426436595
0.3,500,1000,15000000,10000,0.441255178
0.3,500,1000,15000000,50000,0.4359033426
